topic_id,documents,median_relative_contribution,median_relative_margin,margin_below_005_fraction
-1,105,0.0,0.0,1.0
0,179,0.26318192,0.0395377,0.5698324
1,216,0.2715435,0.07698249,0.37037036
2,926,0.22803187,0.029888587,0.6792657
3,649,0.3022107,0.08456959,0.32357472
4,101,0.26958212,0.071167015,0.28712872
5,707,0.38860708,0.14805205,0.24045262
6,1369,0.25096732,0.060285967,0.41490138
7,438,0.22657257,0.026819225,0.6940639
8,774,0.42967105,0.23237164,0.18217054
9,439,0.246332,0.034510247,0.60136676
10,939,0.21512972,0.03094395,0.6932907
11,29,0.2227921,0.077810116,0.44827586
12,609,0.23281197,0.053458728,0.47619048
13,71,0.18135583,0.013941935,0.8450704
14,512,0.3014627,0.0831344,0.34179688
15,713,0.23480761,0.045010053,0.53436184
16,1025,0.24287222,0.041716754,0.55609757
17,186,0.2487547,0.047064427,0.52150536
18,992,0.2944917,0.09904681,0.25504032
19,801,0.32602206,0.0759161,0.37453184
20,978,0.250145,0.048442885,0.5122699
21,365,0.30637568,0.09460138,0.33424658
22,255,0.26887244,0.0491211,0.5058824
23,434,0.30548045,0.08630893,0.3778802
24,546,0.23952709,0.037063263,0.5824176
25,183,0.26433432,0.03492785,0.6010929
26,582,0.27945805,0.06694809,0.42439863
27,412,0.19679701,0.019073378,0.77427185
28,301,0.2641331,0.036974862,0.5681063
29,170,0.25343233,0.031507384,0.65882355
30,657,0.19283447,0.017818842,0.8280061
31,563,0.20056252,0.024670215,0.7353464
32,750,0.2622128,0.056450993,0.45866665
33,635,0.2412064,0.035522282,0.6094488
34,441,0.22831303,0.034816764,0.6031746
35,124,0.27823573,0.08376955,0.33064517
36,911,0.38079232,0.16625014,0.16355653
37,545,0.32144567,0.07293129,0.3614679
38,580,0.286338,0.057230145,0.45
39,118,0.19903478,0.022733908,0.7542373
40,567,0.23163591,0.03387709,0.659612
41,312,0.17473903,0.01657071,0.86217946
42,646,0.25985774,0.05136151,0.49380806
43,379,0.25349334,0.042318795,0.53562003
44,134,0.23236941,0.027056407,0.64179105
45,195,0.26911476,0.060840383,0.43076923
46,676,0.3292486,0.085516796,0.3372781
47,533,0.24541265,0.058773737,0.4371482
48,410,0.4436208,0.15523238,0.2195122
49,495,0.2136771,0.02728972,0.72121215
50,290,0.24169928,0.03177827,0.6413793
51,370,0.18742886,0.025554746,0.8027027
52,585,0.29109123,0.071463674,0.35897437
53,540,0.2953296,0.073048055,0.39814815
54,118,0.19690207,0.016809687,0.80508476
55,68,0.2145454,0.023725392,0.6911765
56,324,0.24281316,0.0354684,0.60493827
57,349,0.25863343,0.041040182,0.56446993
58,124,0.27797636,0.057150654,0.48387095
59,541,0.24154595,0.05551364,0.4676525
60,327,0.22020553,0.029109182,0.7308869
61,513,0.3393698,0.122799076,0.20077972
62,638,0.2500956,0.041416876,0.5658307
63,523,0.2553819,0.039475616,0.5659656
64,470,0.27459878,0.05932401,0.43617022
65,222,0.30034745,0.085934326,0.36486486
66,471,0.37447113,0.1148668,0.2611465
67,164,0.24027325,0.036488727,0.6097561
69,656,0.32086337,0.07525096,0.3628049
70,466,0.21688151,0.041951947,0.56437767
71,34,0.2864251,0.074151516,0.47058824
72,276,0.22152096,0.02863276,0.6702899
73,374,0.2792877,0.08194575,0.31283423
74,313,0.1904216,0.024048433,0.73801917
75,328,0.2523023,0.036668077,0.58231705
76,690,0.2428993,0.07214111,0.3043478
77,474,0.21694785,0.040593725,0.5780591
78,109,0.25220564,0.04361339,0.5412844
79,116,0.2515084,0.06503697,0.4224138
80,199,0.22520809,0.04279263,0.56281406
81,339,0.23181997,0.04441143,0.5575221
82,634,0.4280173,0.14860973,0.22397476
83,282,0.22354561,0.031933047,0.6134752
84,380,0.20661338,0.028979314,0.65789473
85,340,0.2957636,0.077914536,0.3764706
86,416,0.2707078,0.053354442,0.48076922
87,279,0.26450145,0.04319076,0.5555556
88,103,0.23190609,0.033159066,0.61165047
89,288,0.21673119,0.042692173,0.5694444
90,43,0.29527372,0.09951822,0.20930232
91,483,0.25227568,0.04963204,0.505176
92,233,0.19187291,0.023891883,0.7424893
93,386,0.28405756,0.059659973,0.44559586
94,521,0.2492021,0.04474401,0.5412668
95,409,0.32236448,0.09328415,0.3178484
96,413,0.20705952,0.038190495,0.59079903
97,82,0.21616527,0.033119734,0.64634144
98,172,0.19574726,0.021550942,0.76744187
99,162,0.30809605,0.07440953,0.3888889
100,256,0.24344793,0.048771694,0.515625
101,626,0.34327886,0.10343368,0.2859425
102,326,0.21365476,0.028531924,0.74539876
103,145,0.313495,0.093358725,0.31724137
104,336,0.2577152,0.041169297,0.5535714
105,346,0.20638208,0.032909237,0.66184974
106,346,0.2674966,0.0551001,0.45375723
107,339,0.23220241,0.042513218,0.5663717
108,261,0.22836535,0.035846803,0.61685824
109,283,0.21847472,0.03247838,0.6713781
110,357,0.24953692,0.04982325,0.5014006
111,316,0.22130322,0.030516308,0.6835443
112,360,0.22906381,0.03993462,0.5777778
113,288,0.24471316,0.045174412,0.5381944
